2025/01/12 17:29:49 Method: GET, Path: /books, Status: 200, Duration: 0s
2025/01/12 17:29:58 Method: GET, Path: /customers, Status: 200, Duration: 52.8µs
2025/01/12 17:30:34 Method: POST, Path: /customers, Status: 400, Duration: 0s
2025/01/12 17:30:58 Method: POST, Path: /customers, Status: 400, Duration: 0s
2025/01/12 17:31:26 Method: GET, Path: /customers, Status: 200, Duration: 757.1µs
2025/01/12 17:31:38 Method: GET, Path: /customers, Status: 200, Duration: 0s
2025/01/12 17:31:52 Method: GET, Path: /customers, Status: 200, Duration: 0s
2025/01/12 17:31:57 Method: GET, Path: /customers, Status: 200, Duration: 0s
2025/01/12 17:32:04 Method: POST, Path: /customers, Status: 201, Duration: 0s
2025/01/12 17:32:12 Method: GET, Path: /customers, Status: 200, Duration: 0s
2025/01/12 17:32:53 Method: GET, Path: /orders, Status: 200, Duration: 0s
2025/01/12 17:32:59 Method: POST, Path: /orders, Status: 400, Duration: 0s
2025/01/12 17:34:17 Method: POST, Path: /orders, Status: 400, Duration: 0s
2025/01/12 17:37:51 Method: POST, Path: /orders, Status: 201, Duration: 0s
2025/01/12 17:38:01 Method: GET, Path: /orders, Status: 200, Duration: 563µs
2025/01/12 17:46:59 Method: GET, Path: /orders, Status: 200, Duration: 0s
2025/01/12 17:47:09 Method: POST, Path: /orders, Status: 400, Duration: 0s
2025/01/12 17:49:43 Method: GET, Path: /orders, Status: 200, Duration: 129.5µs
2025/01/12 17:49:48 Method: POST, Path: /orders, Status: 400, Duration: 0s
2025/01/12 17:52:34 Method: GET, Path: /orders, Status: 200, Duration: 0s
2025/01/12 17:52:54 Method: POST, Path: /orders, Status: 400, Duration: 0s
2025/01/12 18:00:06 Method: POST, Path: /orders, Status: 400, Duration: 0s
2025/01/12 18:01:52 Method: POST, Path: /orders/1, Status: 405, Duration: 0s
2025/01/12 18:02:02 Method: DELETE, Path: /orders/1, Status: 204, Duration: 0s
2025/01/12 18:02:10 Method: POST, Path: /orders, Status: 400, Duration: 0s
2025/01/12 18:02:16 Method: GET, Path: /orders, Status: 200, Duration: 0s
2025/01/12 18:03:02 Method: GET, Path: /books, Status: 200, Duration: 0s
2025/01/12 18:03:22 Method: POST, Path: /orders, Status: 201, Duration: 0s
2025/01/12 18:03:36 Method: GET, Path: /books, Status: 200, Duration: 0s
2025/01/12 18:03:58 Method: GET, Path: /reports, Status: 200, Duration: 0s
2025/01/12 18:09:21 Method: GET, Path: /reports/1, Status: 404, Duration: 0s
2025/01/12 18:09:45 Method: GET, Path: /reports/REPORT_20250112175957, Status: 404, Duration: 0s
